"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"3","Sales & Marketing","Bachelor's","m","sourcing",1,34,3,7,"No",50,"Non-Promotion"
"4","Sales & Marketing","Bachelor's","m","other",2,39,1,10,"No",50,"Non-Promotion"
"8","Operations","Master's & above","m","sourcing",1,33,3,6,"No",63,"Non-Promotion"
"10","Sales & Marketing","Master's & above","m","sourcing",1,32,5,5,"No",54,"Non-Promotion"
"14","Technology","Master's & above","m","other",2,39,3,16,"No",80,"Non-Promotion"
"16","Operations","Bachelor's","m","other",1,37,1,10,"No",60,"Non-Promotion"
"17","Technology","Bachelor's","m","other",1,38,3,5,"No",77,"Non-Promotion"
"21","Procurement","Bachelor's","m","other",1,35,3,7,"No",75,"Non-Promotion"
"27","Procurement","Bachelor's","m","other",1,31,5,4,"No",68,"Non-Promotion"
"28","Technology","Bachelor's","m","other",1,33,4,4,"No",79,"Non-Promotion"
"29","Analytics","Bachelor's","m","other",1,29,5,3,"No",80,"Non-Promotion"
"31","Procurement","Bachelor's","m","sourcing",1,37,5,10,"No",72,"Non-Promotion"
"42","Operations","Bachelor's","f","other",2,23,4,2,"No",57,"Non-Promotion"
"43","HR","Bachelor's","m","sourcing",1,59,4,26,"No",52,"Non-Promotion"
"48","Technology","Bachelor's","m","sourcing",1,40,3,11,"No",80,"Non-Promotion"
"50","Procurement","Master's & above","f","sourcing",1,56,3,12,"No",73,"Non-Promotion"
"51","Finance","Bachelor's","m","sourcing",1,20,4,2,"No",60,"Non-Promotion"
"52","Sales & Marketing","Bachelor's","f","sourcing",1,31,3,8,"No",48,"Non-Promotion"
"53","Procurement","Bachelor's","m","sourcing",1,40,3,12,"No",65,"Non-Promotion"
"54","HR","Bachelor's","m","other",1,30,1,6,"No",50,"Non-Promotion"
"56","Analytics","Bachelor's","m","other",2,26,2,2,"No",85,"Non-Promotion"
"58","R&D","Master's & above","m","sourcing",1,40,3,5,"No",84,"Non-Promotion"
"60","Sales & Marketing","Bachelor's","m","other",1,40,4,7,"No",52,"Non-Promotion"
"61","Sales & Marketing","Master's & above","m","other",1,50,4,17,"No",47,"Promotion"
"62","Sales & Marketing","Bachelor's","m","sourcing",1,25,3,3,"No",53,"Non-Promotion"
"64","Sales & Marketing","Master's & above","m","sourcing",1,35,4,2,"No",52,"Non-Promotion"
"66","Operations","Master's & above","f","sourcing",1,31,3,3,"No",58,"Non-Promotion"
"70","Analytics","Bachelor's","m","other",1,30,3,7,"No",84,"Promotion"
"79","Analytics","Bachelor's","m","other",1,25,3,2,"No",91,"Non-Promotion"
"86","Operations","Master's & above","f","sourcing",1,42,5,11,"No",60,"Promotion"
"87","HR","Bachelor's","f","sourcing",1,28,2,6,"No",52,"Non-Promotion"
"92","Analytics","Bachelor's","m","other",1,34,3,8,"No",85,"Non-Promotion"
"94","HR","Master's & above","m","other",1,47,3,7,"No",44,"Non-Promotion"
"95","Operations","Bachelor's","f","other",1,44,4,13,"No",53,"Non-Promotion"
